DATASET	Euclidean1NN	DTW-1NN	SAX-VSM	SAX-VSM-G
ARSim	0.4890	0.4035	0.4405	0.4750
50words	0.3692	0.3099	0.3736	0.4659
Adiac	0.3887	0.396	0.4169	0.6522
Arrowhead	0.5029	0.5314	0.3429	0.2743
Beef	0.4667	0.5000	0.2333	0.3667
CBF	0.1478	0.0033	0.0100	0.0122
ChlorineConcentration	0.3500	0.3516	0.3409	0.5089
CinC_ECG_torso	0.1029	0.3493	0.3442	0.2312
Coffee	0.2500	0.1786	0.0000	0.0357
Cricket	0.0510	0.0102	0.8163	0.2551
Cricket_X	0.4256	0.2231	0.3077	0.3923
Cricket_Y	0.3564	0.2077	0.3180	0.3974
Cricket_Z	0.3795	0.2077	0.2974	0.3821
DiatomSizeReduction	0.0654	0.0327	0.1209	0.1471
Earthquakes	0.3022	0.295	0.2518	0.2518
ECG200	0.1200	0.2300	0.1400	0.2600
ECGFiveDays	0.2033	0.2323	0.0012	0.0441
ElectricDevices	0.4559	0.3298	0.3739	0.5615
FaceAll	0.2864	0.1923	0.2450	0.3868
FaceFour	0.2159	0.1705	0.11364	0.0000
FacesUCR	0.2307	0.0951	0.1088	0.3907
Fish	0.2171	0.1657	0.0171	0.0629
FordA	0.3136	0.2758	0.18561	0.3083
FordB	0.4037	0.3407	0.3309	0.4173
GunPoint	0.0867	0.0933	0.0133	0.0400
Haptics	0.6299	0.6234	0.5844	0.5909
InlineSkate	0.6582	0.6164	0.5927	0.6073
ItalyPowerDemand	0.0447	0.0496	0.0894	0.3071
Lighting2	0.2459	0.1311	0.2131	0.2459
Lighting7	0.4247	0.2740	0.3973	0.2131
MALLAT	0.0857	0.0661	0.1992	0.0810
Mallet	0.0346	0.0236	0.0351	0.1365
MedicalImages	0.3158	0.2632	0.5158	0.6316
MoteStrain	0.1214	0.1653	0.1246	0.2476
OliveOil	0.1333	0.1333	0.1333	0.2000
OSULeaf	0.4835	0.4091	0.1653	0.2355
Passgraph	0.3740	0.2901	0.3435	0.3435
Shield	0.1395	0.1395	0.1240	0.0620
SonyAIBORobotSurface	0.3045	0.2745	0.3062	0.4742
SonyAIBORobotSurfaceII	0.1406	0.1689	0.1259	0.1899
SwedishLeaf	0.2112	0.0503	0.2784	0.4528
Symbols	0.1005	0.0067	0.1085	0.1106
SyntheticControl	0.1200	0.0000	0.0167	0.1867
Trace	0.2400	0.0000	0.0000	0.0200
Two_Patterns	0.0933	0.0957	0.0040	0.0253
TwoLeadECG	0.2529	0.0957	0.0141	0.3082
uWaveGestureLibrary_X	0.260748	0.272473	0.3230	0.2842
uWaveGestureLibrary_Y	0.338358	0.365997	0.3638	0.3763
uWaveGestureLibrary_Z	0.350363	0.3417	0.3565	0.3453
Wafer	0.0045	0.0201	0.0010	0.0120
WordsSynonyms	0.3824	0.3511	0.4404	0.4937
Yoga	0.1697	0.1637	0.1510	0.2263
